#NEUS (tons)  from Watson,
Year,Landings
1950,1610060.17
1951,1559639.391
1952,1652989.591
1953,1804762.253
1954,1842400.527
1955,1870947.569
1956,1914612.554
1957,1935700.264
1958,1805402.06
1959,1890334.406
1960,1870352.185
1961,1948295.3
1962,2063174.041
1963,1863738.98
1964,1783306.764
1965,2018855.42
1966,1826068.463
1967,1548933.076
1968,1588672.898
1969,1452207.898
1970,1469741.423
1971,1504826.254
1972,1627230.064
1973,1657591.474
1974,1552608.194
1975,1472553.646
1976,1501463.272
1977,1639547.92
1978,1660236.845
1979,1706018.071
1980,1709088.638
1981,1634888.499
1982,1584439.659
1983,1506650.762
1984,1448865.78
1985,1473662.077
1986,1449708.357
1987,1523727.939
1988,1434553.259
1989,1511231.163
1990,1603243.146
1991,1583485.746
1992,1522182.959
1993,1478126.727
1994,1308774.328
1995,1399687.72
1996,1341396.236
1997,1279484.051
1998,1191636.156
1999,1226858.792
2000,1313948.703
2001,1462444.483
2002,1463177.395
2003,1571640.479
2004,1555964.982
2005,1403170.777
2006,1416583.074
2007,1217909.051
2008,1287451.016
2009,1318117.622
2010,1424729.441
2011,1443451.317
2012,1409452.526
2013,1274466.59
2014,1082210.75
